Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,1-4 years,0,42,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,5-14 years,0,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,15-24 years,,208,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,18-29 years,,354,14,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,25-34 years,23,471,23,10,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,30-39 years,43,689,38,13,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,35-44 years,79,926,54,22,,114,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,40-49 years,128,1259,81,39,,173,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,45-54 years,236,1918,146,78,,311,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,50-64 years,740,5659,545,250,19,1053,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,55-64 years,577,4461,446,194,13,841,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,65-74 years,1035,7102,708,359,17,1400,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,75-84 years,1287,9593,913,469,13,1742,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,85 years and over,1319,11389,810,383,,1750,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,All Ages,292,5609,345,157,,489,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,Under 1 year,0,51,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,0-17 years,0,113,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,5-14 years,0,31,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,15-24 years,,139,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,18-29 years,,217,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,25-34 years,,241,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,30-39 years,,297,12,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,35-44 years,10,302,19,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,40-49 years,12,335,20,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,45-54 years,12,434,18,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,50-64 years,42,1171,61,20,,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,55-64 years,36,928,53,19,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,65-74 years,71,1212,79,41,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,75-84 years,84,1216,87,48,,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,All Sexes,85 years and over,74,1048,79,37,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,All Ages,171,3237,196,85,,287,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,Under 1 year,0,33,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,0-17 years,0,76,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,5-14 years,0,23,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,15-24 years,0,98,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,18-29 years,,148,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,25-34 years,,150,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,30-39 years,,186,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,35-44 years,,188,13,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,40-49 years,,191,13,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,45-54 years,,265,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,50-64 years,23,749,33,10,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,55-64 years,19,588,30,10,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,65-74 years,49,724,46,25,0,70,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,75-84 years,51,713,55,27,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Male,85 years and over,37,450,39,18,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,All Ages,121,2372,149,72,,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,Under 1 year,0,18,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,0-17 years,0,37,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,15-24 years,,41,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,18-29 years,,69,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,25-34 years,,91,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,30-39 years,,111,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,35-44 years,,114,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,40-49 years,,144,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,45-54 years,,169,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,50-64 years,19,422,28,10,0,37,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,55-64 years,17,340,23,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,65-74 years,22,488,33,16,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,75-84 years,33,503,32,21,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alaska,Female,85 years and over,37,598,40,19,0,58,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,All Ages,14834,94230,13198,8805,152,19375,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,Under 1 year,0,456,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,0-17 years,11,946,21,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,1-4 years,,115,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,5-14 years,,164,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,15-24 years,41,1286,41,24,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,18-29 years,103,2193,89,59,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,25-34 years,172,2497,138,92,,222,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,30-39 years,268,2899,208,145,,336,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,35-44 years,380,3189,284,203,,468,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,40-49 years,598,3896,479,354,12,734,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,45-54 years,928,5406,783,577,16,1149,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,50-64 years,2700,15300,2385,1651,37,3470,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,55-64 years,2151,12121,1920,1313,26,2784,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,65-74 years,3518,19486,3232,2226,39,4562,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,75-84 years,4262,24358,3849,2574,30,5566,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,All Sexes,85 years and over,3374,25152,2935,1791,22,4540,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,All Ages,8742,52018,7745,5301,83,11266,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,Under 1 year,0,252,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,0-17 years,,566,12,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,1-4 years,,65,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,5-14 years,,88,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,15-24 years,27,987,25,13,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,18-29 years,60,1649,57,36,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,25-34 years,103,1792,83,57,,131,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,30-39 years,174,2007,126,95,,208,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,35-44 years,242,2158,184,135,,295,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Arizona,Male,40-49 years,370,2542,290,215,,449,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
